[2025-09-25 11:23:49,943][contrast_train.py][line:362][INFO] Epoch [029/200] Train Loss: 1.2894 (CE 0.9369, Con 0.0000, RegionCon 3.4077, Reg 0.011733) | Train Acc: 0.7145 | Test Acc: 0.7014 | LR: 0.000500
[2025-09-25 11:27:38,596][contrast_train.py][line:362][INFO] Epoch [030/200] Train Loss: 1.2709 (CE 0.9199, Con 0.0000, RegionCon 3.3944, Reg 0.011573) | Train Acc: 0.7169 | Test Acc: 0.7277 | LR: 0.000500
[2025-09-25 11:31:27,198][contrast_train.py][line:362][INFO] Epoch [031/200] Train Loss: 1.2476 (CE 0.8972, Con 0.0000, RegionCon 3.3870, Reg 0.011645) | Train Acc: 0.7287 | Test Acc: 0.7143 | LR: 0.000500
[2025-09-25 11:35:16,615][contrast_train.py][line:362][INFO] Epoch [032/200] Train Loss: 1.2425 (CE 0.8929, Con 0.0000, RegionCon 3.3841, Reg 0.011187) | Train Acc: 0.7270 | Test Acc: 0.7326 | LR: 0.000500
[2025-09-25 11:39:05,952][contrast_train.py][line:362][INFO] Epoch [033/200] Train Loss: 1.2241 (CE 0.8754, Con 0.0000, RegionCon 3.3753, Reg 0.011116) | Train Acc: 0.7283 | Test Acc: 0.7419 | LR: 0.000500
[2025-09-25 11:42:55,273][contrast_train.py][line:362][INFO] Epoch [034/200] Train Loss: 1.2058 (CE 0.8576, Con 0.0000, RegionCon 3.3737, Reg 0.010870) | Train Acc: 0.7351 | Test Acc: 0.7318 | LR: 0.000500
[2025-09-25 11:46:44,922][contrast_train.py][line:362][INFO] Epoch [035/200] Train Loss: 1.2193 (CE 0.8722, Con 0.0000, RegionCon 3.3634, Reg 0.010801) | Train Acc: 0.7296 | Test Acc: 0.7281 | LR: 0.000500
[2025-09-25 11:50:34,152][contrast_train.py][line:362][INFO] Epoch [036/200] Train Loss: 1.2056 (CE 0.8551, Con 0.0000, RegionCon 3.3863, Reg 0.011880) | Train Acc: 0.7374 | Test Acc: 0.7253 | LR: 0.000500
[2025-09-25 11:54:24,066][contrast_train.py][line:362][INFO] Epoch [037/200] Train Loss: 1.1887 (CE 0.8408, Con 0.0000, RegionCon 3.3660, Reg 0.011233) | Train Acc: 0.7376 | Test Acc: 0.7370 | LR: 0.000500
[2025-09-25 11:58:14,170][contrast_train.py][line:362][INFO] Epoch [038/200] Train Loss: 1.1748 (CE 0.8268, Con 0.0000, RegionCon 3.3677, Reg 0.011311) | Train Acc: 0.7456 | Test Acc: 0.7391 | LR: 0.000500
