[2025-09-23 12:06:19,283][contrast_train.py][line:362][INFO] Epoch [031/200] Train Loss: 1.7152 (CE 0.7721, Con 5.6839, RegionCon 3.5957, Reg 0.015097) | Train Acc: 0.7578 | Test Acc: 0.7630 | LR: 0.000500
[2025-09-23 12:10:15,811][contrast_train.py][line:362][INFO] Epoch [032/200] Train Loss: 1.7154 (CE 0.7732, Con 5.6700, RegionCon 3.6006, Reg 0.015136) | Train Acc: 0.7608 | Test Acc: 0.7435 | LR: 0.000500
[2025-09-23 12:14:11,566][contrast_train.py][line:362][INFO] Epoch [033/200] Train Loss: 1.7121 (CE 0.7723, Con 5.6512, RegionCon 3.5959, Reg 0.015074) | Train Acc: 0.7631 | Test Acc: 0.7577 | LR: 0.000500
[2025-09-23 12:18:06,750][contrast_train.py][line:362][INFO] Epoch [034/200] Train Loss: 1.6851 (CE 0.7483, Con 5.6247, RegionCon 3.5991, Reg 0.014480) | Train Acc: 0.7685 | Test Acc: 0.7520 | LR: 0.000500
[2025-09-23 12:22:02,219][contrast_train.py][line:362][INFO] Epoch [035/200] Train Loss: 1.6832 (CE 0.7481, Con 5.6033, RegionCon 3.6020, Reg 0.014571) | Train Acc: 0.7718 | Test Acc: 0.7565 | LR: 0.000500
[2025-09-23 12:25:57,182][contrast_train.py][line:362][INFO] Epoch [036/200] Train Loss: 1.6561 (CE 0.7224, Con 5.5965, RegionCon 3.5932, Reg 0.014707) | Train Acc: 0.7752 | Test Acc: 0.7792 | LR: 0.000500
[2025-09-23 12:29:51,950][contrast_train.py][line:362][INFO] Epoch [037/200] Train Loss: 1.6603 (CE 0.7279, Con 5.5812, RegionCon 3.5979, Reg 0.014506) | Train Acc: 0.7670 | Test Acc: 0.7618 | LR: 0.000500
[2025-09-23 12:33:46,766][contrast_train.py][line:362][INFO] Epoch [038/200] Train Loss: 1.6434 (CE 0.7122, Con 5.5670, RegionCon 3.5993, Reg 0.014619) | Train Acc: 0.7819 | Test Acc: 0.7605 | LR: 0.000500
[2025-09-23 12:37:41,668][contrast_train.py][line:362][INFO] Epoch [039/200] Train Loss: 1.6371 (CE 0.7084, Con 5.5581, RegionCon 3.5895, Reg 0.013990) | Train Acc: 0.7793 | Test Acc: 0.7605 | LR: 0.000500
[2025-09-23 12:41:36,185][contrast_train.py][line:362][INFO] Epoch [040/200] Train Loss: 1.6256 (CE 0.6972, Con 5.5412, RegionCon 3.6017, Reg 0.014147) | Train Acc: 0.7833 | Test Acc: 0.7678 | LR: 0.000250
[2025-09-23 12:45:30,873][contrast_train.py][line:362][INFO] Epoch [041/200] Train Loss: 1.5565 (CE 0.6331, Con 5.4996, RegionCon 3.5924, Reg 0.014221) | Train Acc: 0.7988 | Test Acc: 0.7804 | LR: 0.000250
[2025-09-23 12:49:25,755][contrast_train.py][line:362][INFO] Epoch [042/200] Train Loss: 1.5329 (CE 0.6129, Con 5.4646, RegionCon 3.5968, Reg 0.013902) | Train Acc: 0.8065 | Test Acc: 0.7755 | LR: 0.000250
[2025-09-23 12:53:21,035][contrast_train.py][line:362][INFO] Epoch [043/200] Train Loss: 1.5298 (CE 0.6106, Con 5.4519, RegionCon 3.6034, Reg 0.013609) | Train Acc: 0.8081 | Test Acc: 0.8092 | LR: 0.000250
